id;nom;birlik
221;"Машины барражные";"маш.-ч"
222;"Бетононасосы при работе на гидроэнергетическом строительстве 5-65 м3/ч";"маш.-ч"
223;"Бетононасосы при работе на строительстве тоннелей 10 м3/ч (передвижные)";"маш.-ч"
224;"Бетоноукладчики со скользящими формами";"маш.-ч"
225;"Бетон-шприцмашины (установки для набрызгбетонирования)";"маш.-ч"
226;"Битумозаправщики на тракторе 4 т";"маш.-ч"
227;"Блокоукладчики для камер съездов диаметром 8,5-9,8 м";"маш.-ч"
228;"Блокоукладчики для проходки тоннелей диаметром 5,1-5,5 м бесщитовой";"маш.-ч"
229;"Блокоукладчики для проходки тоннелей диаметром 5,1-5,5 м щитовой";"маш.-ч"
230;"Блокоукладчики для станционных тоннелей диаметром 8,5 м со стационарно установленными растворонагнетателями";"маш.-ч"
231;"Пневматический перфоратор YT29A 0.3 (Mpa)";"маш.-ч"
232;"Компрессор LGCY-18/17 YUCHAI/CUMMINS 6CTA8.3-C260, производительность: не менее 30м3/ч";"маш.ч"
233;"Станки ударно-вращательного бурения с установкой Kaishan KG510, глубина бурения до 30 м, диаметр скважин до 125 мм";"маш.-ч"
234;"Станки ударно-вращательного бурения самоходные буровая установка Kaishan KG510, глубина бурения до 30 м, диаметр скважины 105 мм";"маш.-ч"
235;"Станки ударно-вращательного бурения самоходные буровая установка Kaishan KG510, глубина бурения до 50 м, диаметр скважины 105 мм";"маш.-ч"
236;"Буровая установка Kaishan KG510 с, глубина бурения до 30 м";"маш.-ч"
237;"Растворомешалка РМ-750 с насосом АНБ-22";"маш.-ч"
238;"Автокран марки XCMG QY50K грузоподъемностью 50 тонн";"маш.ч"
239;"Автокран марки XZJ5556QZ100K грузоподъемностью 100 тонн";"маш.ч"
240;"Автокран марки ZOOMLION QY30V532.9 грузоподъемностью 30 тонн";"маш.ч"
241;"Автокран марки ZOOMLION QY55V532.2 грузоподъемностью 55 тонн";"маш.ч"
242;"Бульдозеры 128,7 кВт (175 л.с.) в составе кабелеукладочной колонны";"маш.-ч"
243;"Бульдозеры на базе трактора 121 (165) кВт (л.с.)";"маш.-ч"
244;"Бульдозеры при работе на водохозяйственном строительстве 37 (50) кВт (л.с.)";"маш.-ч"
245;"Бульдозеры при работе на водохозяйственном строительстве 59 (80) кВт (л.с.)";"маш.-ч"
246;"Бульдозеры при работе на водохозяйственном строительстве 79 (108) кВт (л.с.)";"маш.-ч"
247;"Бульдозеры при работе на водохозяйственном строительстве 96 (130) кВт (л.с.)";"маш.-ч"
248;"Бульдозеры при работе на водохозяйственном строительстве 118 (160) кВт (л.с.)";"маш.-ч"
249;"Бульдозеры при работе на водохозяйственном строительстве 132 (180) кВт (л.с.)";"маш.-ч"
250;"Бульдозеры при работе на гидроэнергетическом строительстве и горновскрышных работах до 59 (80) кВт (л.с.)";"маш.-ч"
251;"Бульдозеры при работе на гидроэнергетическом строительстве и горновскрышных работах 79 (108) кВт (л.с.)";"маш.-ч"
252;"Бульдозеры при работе на гидроэнергетическом строительстве и горновскрышных работах 96 (130) кВт (л.с.)";"маш.-ч"
253;"Бульдозеры при работе на гидроэнергетическом строительстве и горновскрышных работах 121 (165) кВт (л.с.)";"маш.-ч"
254;"Бульдозеры при работе на гидроэнергетическом строительстве и горновскрышных работах 132 (180) кВт (л.с.)";"маш.-ч"
255;"Бульдозеры при работе на гидроэнергетическом строительстве и горновскрышных работах 243 (330) кВт (л.с.)";"маш.-ч"
256;"Бульдозеры при работе на других видах строительства (кроме водохозяйственного) 37 (50) кВт (л.с.)";"маш.-ч"
257;"Бульдозеры при работе на других видах строительства (кроме водохозяйственного) 59 (80) кВт (л.с.)";"маш.-ч"
258;"Бульдозеры при работе на других видах строительства 79 (108) кВт (л.с.)";"маш.-ч"
259;"Бульдозеры при работе на других видах строительства (кроме водохозяйственного) 96 (130) кВт (л.с.)";"маш.-ч"
260;"Бульдозеры при работе на других видах строительства (кроме водохозяйственного) 118 (160) кВт (л.с.)";"маш.-ч"
261;"Бульдозеры при работе на других видах строительства (кроме водохозяйственного) 121 (165) кВт (л.с.)";"маш.-ч"
262;"Бульдозеры при работе на других видах строительства (кроме водохозяйственного) 132 (180) кВт (л.с.)";"маш.-ч"
263;"Бульдозеры при работе на других видах строительства (кроме водохозяйственного) 243 (330) кВт (л.с.)";"маш.-ч"
264;"Бульдозеры при работе на сооружении магистральных трубопроводов до 59 (80) кВт (л.с.)";"маш.-ч"
265;"Бульдозеры при работе на сооружении магистральных трубопроводов 121 (165) кВт (л.с.)";"маш.-ч"
266;"Бульдозеры при работе на сооружении магистральных трубопроводов 132 (180) кВт (л.с.)";"маш.-ч"
267;"Бульдозеры при работе на сооружении магистральных трубопроводов 228 (310) кВт (л.с.)";"маш.-ч"
268;"Бульдозеры при работе на сооружении магистральных трубопроводов 303 (410) кВт (л.с.)";"маш.-ч"
269;"Бульдозеры при работе на сооружении магистральных трубопроводов 340 (450) кВт (л.с.)";"маш.-ч"
270;"Бульдозеры при работе на сооружении магистральных трубопроводов 96 (130) кВт (л.с.)";"маш.-ч"
271;"Бульдозеры-рыхлители на тракторе при работе на водохозяйственном строительстве мощностью 79 (108) кВт (л.с.)";"маш.-ч"
272;"Бульдозеры-рыхлители на тракторе при работе на водохозяйственном строительстве мощностью 121 (165) кВт (л.с.)";"маш.-ч"
273;"Бульдозеры-рыхлители на тракторе при работе на водохозяйственном строительстве мощностью 132 (180) кВт (л.с.)";"маш.-ч"
274;"Бульдозеры-рыхлители на тракторе при работе на других видах строительства (кроме водохозяйственного) мощностью 79 (108) кВт (л.с.)";"маш.-ч"
275;"Бульдозеры-рыхлители на тракторе при работе на других видах строительства (кроме водохозяйственного) мощностью 121 (165) кВт (л.с.)";"маш.-ч"
276;"Бульдозеры-рыхлители на тракторе при работе на других видах строительства (кроме водохозяйственного) мощностью 132 (180) кВт (л.с.)";"маш.-ч"
277;"Бульдозеры-рыхлители на тракторе при работе на транспортном строительстве мощностью 132 (180) кВт (л.с.)";"маш.-ч"
278;"Бетоносмесители передвижные 250 л на других видах строительства (кроме водохозяйственного)";"маш.-ч"
279;"Бетоносмесители передвижные емк. 250 л для сельского стр-ва";"маш.-ч"
280;"Бетономешалки 150 л";"маш.-4"
281;"Насос для перекачки воды";"маш.-ч"
282;"Станции холодильные передвижные";"маш.-ч"
283;"Установки для нанесения полимерной полимеризации покрытия";"маш.-ч"
284;"Автобетононасос марки PUTMEISTER BSF 38-4.14H на базе MERCEDES-BENZ AXOR 3340";"маш.ч"
285;"Автокран марки XCMG QY30K грузоподъемностью 30 тонн";"маш.ч"
286;"Бетононасосы при работе на гидротехническом строительстве 10 м3/час";"маш.-ч"
287;"Бетононасосы при работе на других видах строительства 10 м3/час";"маш.-ч"
288;"Бульдозеры-рыхлители при работе на транспортном строительстве 79 кВт";"маш.-ч"
289;"Бульдозеры-рыхлители при работе на транспортном строительстве 96-121 кВт";"маш.-ч"
290;"Бетоносмесители гравитационные передвижные 65 л";"маш.-ч"
291;"Бетоносмесители гравитационные передвижные 165 л";"маш.-ч"
292;"Бетоносмесители гравитационные передвижные 330 л";"маш.-ч"
293;"Бетоносмесители гравитационные стационарные 500 л";"маш.-ч"
294;"Бетоносмесители гравитационные стационарные 800 л";"маш.-ч"
295;"Бетоносмесители гравитационные стационарные 1000 л";"маш.-ч"
296;"Бетоносмесители гравитационные стационарные 2000 л";"маш.-ч"
297;"Бачки красконагнетательные";"маш.-ч"
298;"Машины бойлерные";"маш.-ч"
299;"Штроборезы электрические";"маш.-ч"
300;"Краны козловые при работе на гидроэнергетическом строительстве 50 т";"маш.-ч"
301;"Краны козловые 65 т, высота подъема крюка 24 м, при работе на гидроэнергетическом строительстве";"маш.-ч"
302;"Краны консольно-шлюзовые 2х20 т";"маш.-ч"
303;"Краны консольно-шлюзовые 2х50 т";"маш.-ч"
304;"Краны на железнодорожном ходу 10 т";"маш.-ч"
305;"Компрессоры передвижные дизельные Kaishan Модель KSCY -18/17 Объем 17 м3/мин";"маш.-ч"
306;"Автомобиль специализированный для транспортировки ВМ";"маш.-ч"
307;"Подъемно-козловое устройство (ПКУ-280), грузоподъемностью 280 т";"маш.-ч"
308;"Краны на специальном шасси автомобильного типа, грузоподъемность до 25 т";"маш.-ч"
309;"Краны на специальном шасси автомобильного типа, грузоподъемность до 50 т";"маш.-ч"
310;"Краны на специальном шасси автомобильного типа, грузоподъемность до 100 т";"маш.-ч"
311;"Краны на специальном шасси автомобильного типа, грузоподъемность до 150 т";"маш.-ч"
312;"Краны на специальном шасси автомобильного типа, грузоподъемность до 200 т";"маш.-ч"
313;"Краны на специальном шасси автомобильного типа, грузоподъемность до 250 т";"маш.-ч"
